Unnamed: 0	assigned_cluster
mouse1_lib1.final_cell_0001	beta
mouse1_lib1.final_cell_0002	ductal
mouse1_lib1.final_cell_0003	delta
mouse1_lib1.final_cell_0004	schwann
mouse1_lib1.final_cell_0005	delta
mouse1_lib1.final_cell_0006	beta
mouse1_lib1.final_cell_0007	beta
mouse1_lib1.final_cell_0008	beta
mouse1_lib1.final_cell_0009	beta
mouse1_lib1.final_cell_0010	ductal
mouse1_lib1.final_cell_0011	ductal
mouse1_lib1.final_cell_0012	beta
mouse1_lib1.final_cell_0013	beta
mouse1_lib1.final_cell_0014	delta
mouse1_lib1.final_cell_0015	beta
mouse1_lib1.final_cell_0016	ductal
mouse1_lib1.final_cell_0017	beta
mouse1_lib1.final_cell_0018	quiescent_stellate
mouse1_lib1.final_cell_0019	ductal
mouse1_lib1.final_cell_0020	ductal
mouse1_lib1.final_cell_0021	beta
mouse1_lib1.final_cell_0022	beta
mouse1_lib1.final_cell_0023	beta
mouse1_lib1.final_cell_0024	delta
mouse1_lib1.final_cell_0025	quiescent_stellate
mouse1_lib1.final_cell_0026	endothelial
mouse1_lib1.final_cell_0027	ductal
mouse1_lib1.final_cell_0028	ductal
mouse1_lib1.final_cell_0029	beta
mouse1_lib1.final_cell_0030	ductal
mouse1_lib1.final_cell_0031	ductal
mouse1_lib1.final_cell_0032	ductal
mouse1_lib1.final_cell_0033	gamma
mouse1_lib1.final_cell_0034	beta
mouse1_lib1.final_cell_0035	beta
mouse1_lib1.final_cell_0036	ductal
mouse1_lib1.final_cell_0037	ductal
mouse1_lib1.final_cell_0038	ductal
mouse1_lib1.final_cell_0039	delta
mouse1_lib1.final_cell_0040	beta
mouse1_lib1.final_cell_0041	beta
mouse1_lib1.final_cell_0042	ductal
mouse1_lib1.final_cell_0043	delta
mouse1_lib1.final_cell_0044	endothelial
mouse1_lib1.final_cell_0045	beta
mouse1_lib1.final_cell_0046	beta
mouse1_lib1.final_cell_0047	alpha
mouse1_lib1.final_cell_0048	ductal
mouse1_lib1.final_cell_0049	beta
mouse1_lib1.final_cell_0050	ductal
mouse1_lib1.final_cell_0051	gamma
mouse1_lib1.final_cell_0052	beta
mouse1_lib1.final_cell_0053	ductal
mouse1_lib1.final_cell_0054	ductal
mouse1_lib1.final_cell_0055	ductal
mouse1_lib1.final_cell_0056	beta
mouse1_lib1.final_cell_0057	ductal
mouse1_lib1.final_cell_0058	endothelial
mouse1_lib1.final_cell_0059	ductal
mouse1_lib1.final_cell_0060	beta
mouse1_lib1.final_cell_0061	beta
mouse1_lib1.final_cell_0062	ductal
mouse1_lib1.final_cell_0063	ductal
mouse1_lib1.final_cell_0064	endothelial
mouse1_lib1.final_cell_0065	beta
mouse1_lib1.final_cell_0066	beta
mouse1_lib1.final_cell_0067	ductal
mouse1_lib1.final_cell_0068	beta
mouse1_lib1.final_cell_0069	endothelial
mouse1_lib1.final_cell_0070	ductal
mouse1_lib1.final_cell_0071	beta
mouse1_lib1.final_cell_0072	beta
mouse1_lib1.final_cell_0073	endothelial
mouse1_lib1.final_cell_0074	beta
mouse1_lib1.final_cell_0075	beta
mouse1_lib1.final_cell_0076	ductal
mouse1_lib1.final_cell_0077	beta
mouse1_lib1.final_cell_0078	ductal
mouse1_lib1.final_cell_0079	quiescent_stellate
mouse1_lib1.final_cell_0080	beta
mouse1_lib1.final_cell_0081	ductal
mouse1_lib1.final_cell_0082	ductal
mouse1_lib1.final_cell_0083	delta
